img_6000,649,199,894,202,893,292,653,298,###
img_6000,327,1150,322,1200,105,1244,110,1196,演奏家音樂館
img_6001,974,578,1024,574,1024,890,964,886,###
img_6001,380,856,770,823,772,922,371,953,永豐金證券
img_6001,667,341,1024,340,1024,554,663,556,###
img_6001,108,792,182,805,162,1105,89,1095,康是美
img_6002,479,1681,532,1679,532,1710,479,1710,双熱
img_6002,414,89,618,72,627,114,424,102,###
img_6002,269,995,413,1001,423,1382,264,1380,###
img_6002,549,1678,646,1677,649,1710,549,1711,享受王
img_6002,249,1493,575,1457,578,1608,255,1634,一休日
img_6002,839,57,1024,63,1024,138,837,136,###
img_6002,724,1124,1007,1122,1017,1701,728,1686,###
img_6002,413,1685,469,1680,471,1711,415,1712,帆板
img_6002,146,503,956,463,954,548,146,565,與然最近的距離
img_6002,55,920,95,924,102,1422,53,1412,###
img_6003,397,562,1154,507,1169,701,383,750,寶島眼鏡
img_6003,844,265,1365,252,1365,433,842,422,###
img_6004,36,0,131,5,0,161,0,42,###
img_6004,233,392,1162,162,999,618,48,688,一
img_6004,378,48,521,37,520,113,382,118,###
img_6004,458,882,912,890,912,1024,455,1024,###
img_6005,84,872,142,882,143,1024,85,1024,###
img_6005,527,812,1217,764,1222,922,510,952,及時放款
img_6005,535,666,1212,600,1214,760,525,806,保證低利
img_6005,1052,376,1365,371,1365,554,1056,546,###
